cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
r0027_c0059,39.9109383,-75.1707804,Residential,78,0.0,0.0,1.8,1945,108332.0,81.0,0.7023,0.0,0.0,0.0,0.0,44.44,0.0
r0028_c0016,39.9122897,-75.2466349,Industrial,8,0.0,0.0,2.0,1937,39626.0,5.0,0.7455,0.0,0.0,0.0,0.0,0.0,0.0
r0028_c0017,39.9122897,-75.2448708,Residential,81,44.44,0.0,1.8,1925,70769.0,65.0,-0.0,44.44,0.0,0.0,0.0,222.22,0.0
r0028_c0018,39.9122897,-75.2431068,Commercial,57,222.22,0.6,1.7,1927,58538.0,38.0,1.7213,44.44,0.0,0.0,0.0,222.22,44.44
r0028_c0019,39.9122897,-75.2413427,Mixed-Use,120,44.44,1.0,1.9,1924,146479.0,131.0,0.255,44.44,0.0,0.0,0.0,44.44,0.0
r0028_c0020,39.9122897,-75.2395787,Residential,124,0.0,0.0,2.0,1922,127406.0,128.0,0.6426,0.0,0.0,0.0,0.0,44.44,0.0
r0028_c0021,39.9122897,-75.2378146,Residential,98,44.44,0.0,2.0,1939,96167.0,102.0,-0.0,0.0,0.0,0.0,0.0,44.44,0.0
r0028_c0022,39.9122897,-75.2360506,Residential,77,0.0,0.0,2.0,1968,80841.0,88.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
r0028_c0024,39.9122897,-75.2325224,Commercial,14,400.0,0.1111,2.0,1970,42154.0,6.0,1.1308,133.33,0.0,0.0,0.0,44.44,0.0
r0028_c0025,39.9122897,-75.2307584,Residential,62,0.0,0.0,1.6,1946,67675.0,52.0,0.0847,0.0,0.0,0.0,0.0,222.22,0.0
r0028_c0026,39.9122897,-75.2289943,Industrial,33,0.0,0.0,1.4,1941,61644.0,50.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
r0028_c0028,39.9122897,-75.2254662,Industrial,3,800.0,0.0,,1967,47408.0,3.0,-0.0,533.33,0.0,12.53,0.0,311.11,0.0
r0028_c0048,39.9122897,-75.1901851,Residential,34,44.44,0.0,2.4,2014,49010.0,21.0,-0.0,0.0,0.0,9.51,0.0,88.89,0.0
