cell_id,road_density_primary
r0066_c0038,0.0
r0066_c0046,0.0
r0066_c0047,0.0
r0066_c0048,0.0
r0066_c0049,0.0
r0066_c0050,0.0
r0066_c0051,0.0
r0066_c0052,15.61
r0066_c0053,0.0
r0066_c0054,0.0
r0066_c0055,0.0
r0066_c0056,0.0
r0066_c0057,0.0
r0067_c0032,0.0
r0067_c0034,0.0
r0067_c0035,0.0
r0067_c0036,0.0
r0067_c0037,22.63
r0067_c0038,0.0
r0067_c0039,0.0
r0067_c0046,0.0
r0067_c0047,0.0
r0067_c0048,0.0
r0067_c0049,0.0
r0067_c0050,0.0
r0067_c0051,0.0
r0067_c0052,0.0
r0067_c0053,6.0
r0067_c0054,0.0
r0067_c0055,0.0
r0067_c0056,0.0
r0067_c0057,0.0
r0068_c0033,0.0
r0068_c0034,0.0
r0068_c0035,0.0
r0068_c0036,0.0
r0068_c0037,0.0
r0068_c0038,0.0
r0068_c0039,64.91
r0068_c0040,73.88
r0068_c0047,0.0
r0068_c0048,0.0
r0068_c0049,0.0
r0068_c0050,0.0
r0068_c0051,0.0
r0068_c0052,0.0
r0068_c0053,11.34
r0068_c0054,1.88
r0068_c0055,0.0
r0068_c0056,0.0
r0069_c0032,0.0
r0069_c0033,0.0
r0069_c0034,0.0
r0069_c0035,0.0
r0069_c0036,0.0
r0069_c0037,3.82
r0069_c0038,6.86
r0069_c0039,14.38
r0069_c0040,0.0
r0069_c0047,0.0
r0069_c0048,5.83
r0069_c0049,0.0
r0069_c0050,0.0
r0069_c0051,0.0
r0069_c0052,0.0
r0069_c0053,0.0
r0069_c0054,0.0
r0069_c0055,15.98
r0069_c0056,0.0
r0070_c0034,0.0
r0070_c0035,0.0
r0070_c0036,0.0
r0070_c0037,0.0
r0070_c0038,13.25
r0070_c0039,0.0
r0070_c0048,0.0
r0070_c0049,0.0
r0070_c0050,0.0
r0070_c0051,0.0
r0070_c0052,0.0
r0070_c0053,0.0
r0070_c0054,1.51
r0070_c0055,22.22
r0070_c0056,0.0
r0071_c0034,0.0
r0071_c0035,0.0
r0071_c0036,0.0
r0071_c0037,0.0
r0071_c0038,14.2
r0071_c0039,7.31
r0071_c0040,0.0
r0071_c0041,0.0
r0071_c0042,0.0
r0071_c0049,0.0
r0071_c0050,0.0
r0071_c0051,0.0
