cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,shop_type_entropy,brand_ratio
r0025_c0027,40.7207107,-73.9976177,Mixed-Use,27,2533.33,0.2632,5.6,1907.0,704462.0,28,1.7112,44.44,888.89,3.5414,0.0
r0025_c0028,40.7207107,-73.9958333,Mixed-Use,47,2266.67,0.4314,5.3,1918.0,665098.0,50,1.0441,44.44,711.11,3.5778,0.0
r0025_c0029,40.7207107,-73.9940489,Mixed-Use,37,1600.0,0.3611,6.0,1916.0,609575.0,40,1.5114,133.33,577.78,2.3158,0.0769
r0025_c0030,40.7207107,-73.9922645,Mixed-Use,19,1022.22,0.2174,6.3,1927.0,260901.0,19,1.2715,44.44,222.22,2.3219,0.0
r0025_c0031,40.7207107,-73.9904801,Mixed-Use,34,1511.11,0.2353,5.5,1917.0,588051.0,36,2.1482,88.89,222.22,1.9219,0.0
r0025_c0032,40.7207107,-73.9886957,Mixed-Use,59,2977.78,0.3582,5.4,1918.0,625084.0,69,1.4087,222.22,1244.44,3.3352,0.0357
r0025_c0033,40.7207107,-73.9869113,Institutional,39,666.67,0.4667,5.1,1923.0,814691.0,41,1.7565,44.44,88.89,1.0,0.0
r0025_c0034,40.7207107,-73.9851269,Residential,48,1377.78,0.2258,4.8,1920.0,501009.0,51,1.8585,266.67,355.56,2.5,0.0
r0025_c0035,40.7207107,-73.9833425,Residential,51,977.78,0.4091,4.7,1934.0,539095.0,50,2.444,0.0,355.56,2.75,0.0
r0025_c0036,40.7207107,-73.9815581,Residential,21,711.11,0.0,5.8,1950.0,431718.0,18,1.6237,0.0,88.89,1.0,0.0
r0025_c0037,40.7207107,-73.9797737,Residential,26,666.67,0.0,6.5,1960.0,588597.0,26,1.8431,0.0,88.89,1.0,0.5
r0025_c0038,40.7207107,-73.9779893,Mixed-Use,16,1200.0,0.0741,5.2,1930.0,283374.0,13,2.0689,0.0,44.44,-0.0,0.0
r0026_c0019,40.7220621,-74.0118928,Residential,4,13244.44,0.0101,11.0,1918.0,381975.0,4,0.3216,266.67,0.0,0.0,0.0
r0026_c0020,40.7220621,-74.0101084,Mixed-Use,18,400.0,0.2222,7.3,1908.0,815806.0,19,0.9213,44.44,0.0,0.0,0.0
r0026_c0021,40.7220621,-74.008324,Mixed-Use,20,977.78,0.0,6.6,1909.0,579684.0,21,1.7219,0.0,44.44,-0.0,0.0
r0026_c0022,40.7220621,-74.0065396,Open Space,9,2755.56,0.0,6.5,1925.0,276980.0,7,2.0084,0.0,0.0,0.0,0.0
r0026_c0023,40.7220621,-74.0047552,Commercial,20,3511.11,0.1266,5.2,1913.0,363549.0,21,1.487,133.33,400.0,2.6416,0.0
r0026_c0024,40.7220621,-74.0029708,Mixed-Use,38,1111.11,0.16,5.2,1908.0,845545.0,49,1.7185,177.78,488.89,2.2999,0.0
r0026_c0025,40.7220621,-74.0011864,Mixed-Use,38,755.56,0.1765,5.7,1882.0,918407.0,42,1.6971,44.44,533.33,2.4508,0.3333
r0026_c0026,40.7220621,-73.9994021,Commercial,26,1288.89,0.069,5.8,1890.0,917365.0,28,1.505,88.89,755.56,2.0157,0.4706
r0026_c0027,40.7220621,-73.9976177,Commercial,36,2666.67,0.3,5.6,1912.0,882199.0,39,1.6664,133.33,400.0,3.1699,0.1111
r0026_c0028,40.7220621,-73.9958333,Mixed-Use,49,2311.11,0.3654,5.2,1916.0,731828.0,53,1.2825,0.0,933.33,3.1349,0.0
r0026_c0029,40.7220621,-73.9940489,Mixed-Use,40,2044.44,0.1087,5.0,1915.0,482429.0,40,1.6181,88.89,1200.0,3.3045,0.0741
r0026_c0030,40.7220621,-73.9922645,Open Space,33,1244.44,0.3571,5.7,1928.0,642748.0,34,1.7914,222.22,266.67,2.585,0.0
r0026_c0031,40.7220621,-73.9904801,Residential,16,755.56,0.1765,5.4,1939.0,388421.0,18,1.8419,133.33,133.33,0.9183,0.0
r0026_c0032,40.7220621,-73.9886957,Residential,30,1644.44,0.5946,5.9,1919.0,681090.0,34,1.7931,44.44,311.11,2.2359,0.0
r0026_c0033,40.7220621,-73.9869113,Mixed-Use,22,1244.44,0.4643,6.6,1926.0,581499.0,25,2.194,88.89,133.33,1.585,0.3333
r0026_c0034,40.7220621,-73.9851269,Mixed-Use,28,1022.22,0.3913,5.8,1926.0,720227.0,32,1.7282,88.89,311.11,2.5216,0.1429
r0026_c0035,40.7220621,-73.9833425,Mixed-Use,40,1688.89,0.3684,5.1,1925.0,500846.0,39,2.1151,44.44,444.44,2.0464,0.1
r0026_c0036,40.7220621,-73.9815581,Residential,39,666.67,0.2667,5.6,1943.0,647335.0,39,1.9932,0.0,177.78,2.0,0.0
r0026_c0037,40.7220621,-73.9797737,Mixed-Use,53,1022.22,0.087,4.7,1917.0,368327.0,39,2.4144,0.0,177.78,2.0,0.0
r0026_c0038,40.7220621,-73.9779893,Residential,28,577.78,0.0769,5.0,1930.0,363869.0,21,2.4876,0.0,88.89,1.0,0.0
